maker-ptg000004l-augustus-gene-3.21-mRNA-1	4
maker-ptg000004l-augustus-gene-4.18-mRNA-1	3
maker-ptg000004l-augustus-gene-6.1-mRNA-1	1
maker-ptg000004l-augustus-gene-7.36-mRNA-1	386
maker-ptg000004l-est_gff_est2genome-gene-11.4-mRNA-1	0
maker-ptg000004l-est_gff_est2genome-gene-11.6-mRNA-1	1
maker-ptg000004l-est_gff_est2genome-gene-21.3-mRNA-1	0
maker-ptg000004l-est_gff_est2genome-gene-3.3-mRNA-1	77
maker-ptg000004l-est_gff_est2genome-gene-5.11-mRNA-1	0
maker-ptg000004l-est_gff_est2genome-gene-5.12-mRNA-1	1
maker-ptg000004l-est_gff_est2genome-gene-9.12-mRNA-1	0
maker-ptg000004l-snap-gene-10.3-mRNA-1	1
maker-ptg000004l-snap-gene-10.4-mRNA-1	0
maker-ptg000004l-snap-gene-11.7-mRNA-1	0
maker-ptg000004l-snap-gene-11.8-mRNA-1	0
maker-ptg000004l-snap-gene-11.9-mRNA-1	0
maker-ptg000004l-snap-gene-12.7-mRNA-1	0
maker-ptg000004l-snap-gene-12.8-mRNA-1	0
maker-ptg000004l-snap-gene-13.107-mRNA-1	18
maker-ptg000004l-snap-gene-13.67-mRNA-1	91
maker-ptg000004l-snap-gene-13.75-mRNA-1	79
maker-ptg000004l-snap-gene-14.39-mRNA-1	0
maker-ptg000004l-snap-gene-14.40-mRNA-1	0
maker-ptg000004l-snap-gene-14.43-mRNA-1	81
maker-ptg000004l-snap-gene-14.44-mRNA-1	43
maker-ptg000004l-snap-gene-14.50-mRNA-1	0
maker-ptg000004l-snap-gene-14.53-mRNA-1	2
maker-ptg000004l-snap-gene-17.0-mRNA-1	0
maker-ptg000004l-snap-gene-17.1-mRNA-1	0
maker-ptg000004l-snap-gene-20.0-mRNA-1	4
maker-ptg000004l-snap-gene-23.37-mRNA-1	655
maker-ptg000004l-snap-gene-23.44-mRNA-1	32
maker-ptg000004l-snap-gene-23.50-mRNA-1	172
maker-ptg000004l-snap-gene-23.59-mRNA-1	67
maker-ptg000004l-snap-gene-23.74-mRNA-1	1397
maker-ptg000004l-snap-gene-23.84-mRNA-1	94
maker-ptg000004l-snap-gene-3.24-mRNA-1	282
maker-ptg000004l-snap-gene-4.11-mRNA-1	738
maker-ptg000004l-snap-gene-4.6-mRNA-1	226
maker-ptg000004l-snap-gene-4.8-mRNA-1	162
maker-ptg000004l-snap-gene-5.13-mRNA-1	77
maker-ptg000004l-snap-gene-5.33-mRNA-1	36
maker-ptg000004l-snap-gene-7.47-mRNA-1	87
maker-ptg000004l-snap-gene-7.52-mRNA-1	16
maker-ptg000004l-snap-gene-9.0-mRNA-1	216
maker-ptg000004l-snap-gene-9.1-mRNA-1	66
maker-ptg000004l-snap-gene-9.3-mRNA-1	4
maker-ptg000006l-augustus-gene-2.0-mRNA-1	0
maker-ptg000006l-augustus-gene-2.6-mRNA-1	961
maker-ptg000006l-augustus-gene-3.66-mRNA-1	32
maker-ptg000006l-augustus-gene-3.80-mRNA-1	0
maker-ptg000006l-augustus-gene-6.11-mRNA-1	13
maker-ptg000006l-augustus-gene-6.9-mRNA-1	2388
maker-ptg000006l-augustus-gene-8.15-mRNA-1	17
maker-ptg000006l-augustus-gene-8.20-mRNA-1	5
maker-ptg000006l-augustus-gene-8.7-mRNA-1	340
maker-ptg000006l-augustus-gene-8.8-mRNA-1	2
maker-ptg000006l-est_gff_est2genome-gene-3.25-mRNA-1	0
maker-ptg000006l-est_gff_est2genome-gene-3.43-mRNA-1	1
maker-ptg000006l-snap-gene-0.7-mRNA-1	0
maker-ptg000006l-snap-gene-1.7-mRNA-1	0
maker-ptg000006l-snap-gene-2.15-mRNA-1	0
maker-ptg000006l-snap-gene-2.18-mRNA-1	0
maker-ptg000006l-snap-gene-2.35-mRNA-1	55
maker-ptg000006l-snap-gene-3.10-mRNA-1	0
maker-ptg000006l-snap-gene-3.17-mRNA-1	0
maker-ptg000006l-snap-gene-3.21-mRNA-1	0
maker-ptg000006l-snap-gene-3.23-mRNA-1	0
maker-ptg000006l-snap-gene-3.7-mRNA-1	9
maker-ptg000006l-snap-gene-5.11-mRNA-1	702
maker-ptg000006l-snap-gene-5.27-mRNA-1	28
maker-ptg000006l-snap-gene-6.20-mRNA-1	334
maker-ptg000006l-snap-gene-6.31-mRNA-1	0
maker-ptg000006l-snap-gene-6.33-mRNA-1	2
maker-ptg000006l-snap-gene-7.17-mRNA-1	254
maker-ptg000006l-snap-gene-8.64-mRNA-1	18
maker-ptg000006l-snap-gene-8.76-mRNA-1	0
maker-ptg000006l-snap-gene-8.77-mRNA-1	3988
maker-ptg000006l-snap-gene-8.81-mRNA-1	502
maker-ptg000006l-snap-gene-8.85-mRNA-1	0
maker-ptg000007l-augustus-gene-1.40-mRNA-1	0
maker-ptg000007l-augustus-gene-2.189-mRNA-1	3
maker-ptg000007l-augustus-gene-2.215-mRNA-1	3
maker-ptg000007l-augustus-gene-2.228-mRNA-1	291
maker-ptg000007l-augustus-gene-2.231-mRNA-1	513
maker-ptg000007l-augustus-gene-2.245-mRNA-1	1
maker-ptg000007l-snap-gene-0.24-mRNA-1	45
maker-ptg000007l-snap-gene-0.27-mRNA-1	151
maker-ptg000007l-snap-gene-1.44-mRNA-1	179
maker-ptg000007l-snap-gene-1.49-mRNA-1	2
maker-ptg000007l-snap-gene-1.52-mRNA-1	18
maker-ptg000007l-snap-gene-1.57-mRNA-1	136
maker-ptg000007l-snap-gene-1.67-mRNA-1	832
maker-ptg000007l-snap-gene-2.124-mRNA-1	104
maker-ptg000007l-snap-gene-2.129-mRNA-1	78
maker-ptg000007l-snap-gene-2.141-mRNA-1	0
maker-ptg000007l-snap-gene-2.142-mRNA-1	0
maker-ptg000007l-snap-gene-2.143-mRNA-1	0
maker-ptg000007l-snap-gene-2.157-mRNA-1	14
maker-ptg000007l-snap-gene-2.178-mRNA-1	1
maker-ptg000007l-snap-gene-2.182-mRNA-1	1
maker-ptg000007l-snap-gene-2.35-mRNA-1	0
maker-ptg000007l-snap-gene-2.41-mRNA-1	356
maker-ptg000007l-snap-gene-2.61-mRNA-1	2
maker-ptg000007l-snap-gene-2.65-mRNA-1	119
maker-ptg000007l-snap-gene-2.92-mRNA-1	20
maker-ptg000007l-snap-gene-2.93-mRNA-1	200
maker-ptg000008l-augustus-gene-0.0-mRNA-1	22
maker-ptg000008l-augustus-gene-1.16-mRNA-1	121
maker-ptg000008l-augustus-gene-10.5-mRNA-1	68
maker-ptg000008l-augustus-gene-2.1-mRNA-1	226
maker-ptg000008l-augustus-gene-5.118-mRNA-1	254
maker-ptg000008l-augustus-gene-5.96-mRNA-1	21
maker-ptg000008l-augustus-gene-7.0-mRNA-1	38
maker-ptg000008l-est_gff_est2genome-gene-10.12-mRNA-1	1
maker-ptg000008l-est_gff_est2genome-gene-10.15-mRNA-1	144
maker-ptg000008l-est_gff_est2genome-gene-2.30-mRNA-1	3
maker-ptg000008l-snap-gene-1.46-mRNA-1	78
maker-ptg000008l-snap-gene-1.50-mRNA-1	114
maker-ptg000008l-snap-gene-1.55-mRNA-1	189
maker-ptg000008l-snap-gene-1.71-mRNA-1	1
maker-ptg000008l-snap-gene-10.36-mRNA-1	0
maker-ptg000008l-snap-gene-10.38-mRNA-1	55
maker-ptg000008l-snap-gene-10.42-mRNA-1	3411
maker-ptg000008l-snap-gene-10.43-mRNA-1	7787
maker-ptg000008l-snap-gene-2.49-mRNA-1	289
maker-ptg000008l-snap-gene-2.50-mRNA-1	16
maker-ptg000008l-snap-gene-2.60-mRNA-1	1
maker-ptg000008l-snap-gene-2.62-mRNA-1	204
maker-ptg000008l-snap-gene-5.54-mRNA-1	567
maker-ptg000008l-snap-gene-5.55-mRNA-1	2
maker-ptg000008l-snap-gene-5.65-mRNA-1	1
maker-ptg000009l-augustus-gene-0.0-mRNA-1	79
maker-ptg000009l-augustus-gene-0.7-mRNA-1	12
maker-ptg000009l-augustus-gene-3.48-mRNA-1	91
maker-ptg000009l-augustus-gene-3.49-mRNA-1	0
maker-ptg000009l-augustus-gene-3.59-mRNA-1	11
maker-ptg000009l-augustus-gene-6.4-mRNA-1	1164
maker-ptg000009l-augustus-gene-8.16-mRNA-1	14
maker-ptg000009l-augustus-gene-8.17-mRNA-1	6
maker-ptg000009l-augustus-gene-8.3-mRNA-1	635
maker-ptg000009l-snap-gene-0.32-mRNA-1	1
maker-ptg000009l-snap-gene-1.6-mRNA-1	28
maker-ptg000009l-snap-gene-2.18-mRNA-1	56
maker-ptg000009l-snap-gene-2.19-mRNA-1	918
maker-ptg000009l-snap-gene-2.29-mRNA-1	9
maker-ptg000009l-snap-gene-2.31-mRNA-1	0
maker-ptg000009l-snap-gene-3.33-mRNA-1	59
maker-ptg000009l-snap-gene-3.35-mRNA-1	3
maker-ptg000009l-snap-gene-3.36-mRNA-1	45
maker-ptg000009l-snap-gene-3.37-mRNA-1	4
maker-ptg000009l-snap-gene-3.41-mRNA-1	14
maker-ptg000009l-snap-gene-6.26-mRNA-1	425
maker-ptg000009l-snap-gene-6.34-mRNA-1	272
maker-ptg000009l-snap-gene-7.12-mRNA-1	4
maker-ptg000009l-snap-gene-8.101-mRNA-1	143
maker-ptg000009l-snap-gene-8.112-mRNA-1	1274
maker-ptg000009l-snap-gene-8.116-mRNA-1	9713
maker-ptg000009l-snap-gene-8.117-mRNA-1	603
maker-ptg000009l-snap-gene-8.124-mRNA-1	42815
maker-ptg000009l-snap-gene-8.97-mRNA-1	103
maker-ptg000010l-augustus-gene-3.114-mRNA-1	153
maker-ptg000010l-augustus-gene-3.124-mRNA-1	691
maker-ptg000010l-augustus-gene-3.132-mRNA-1	0
maker-ptg000010l-augustus-gene-3.140-mRNA-1	324
maker-ptg000010l-est_gff_est2genome-gene-1.0-mRNA-1	0
maker-ptg000010l-est_gff_est2genome-gene-3.0-mRNA-1	5
maker-ptg000010l-snap-gene-1.18-mRNA-1	7080
maker-ptg000010l-snap-gene-2.3-mRNA-1	0
maker-ptg000010l-snap-gene-3.101-mRNA-1	1250
maker-ptg000010l-snap-gene-3.34-mRNA-1	12
maker-ptg000010l-snap-gene-3.39-mRNA-1	184
